subject,body,theme
Payment issue on last order,Could you clarify the extra charges on my bill?,Billing
Modify account details,I’d like to modify my account preferences.,Account Changes
Modify account details,How can I switch to a different account plan?,Account Changes
Payment issue on last order,Please refund the duplicate charge on my card.,Billing
Ask for company brochure,I’m interested in exploring partnership opportunities.,General Inquiry
Request refund for duplicate charge,I need a billing statement for the past 6 months.,Billing
Need more product details,Can I request a product demo this week?,General Inquiry
App keeps crashing,I’m getting a server error when accessing my dashboard.,Technical Support
Questions about partnership,Can you tell me about the premium plans you offer?,General Inquiry
Modify account details,Please update my email to newemail@example.com.,Account Changes
Clarification on charges,There’s an issue with the payment I made yesterday.,Billing
App keeps crashing,I can’t log into my account even after resetting the password.,Technical Support
Payment issue on last order,Could you clarify the extra charges on my bill?,Billing
Password reset not working,I’m getting a server error when accessing my dashboard.,Technical Support
App keeps crashing,The password reset link is not working.,Technical Support
Questions about partnership,I’m interested in exploring partnership opportunities.,General Inquiry
Payment issue on last order,Please refund the duplicate charge on my card.,Billing
System performance slow,I’m getting a server error when accessing my dashboard.,Technical Support
Clarification on charges,Could you clarify the extra charges on my bill?,Billing
Modify account details,Please update my email to newemail@example.com.,Account Changes
Interested in premium plans,Can you tell me about the premium plans you offer?,General Inquiry
Ask for company brochure,Do you have a brochure or catalog I can review?,General Inquiry
Need more product details,Can I request a product demo this week?,General Inquiry
Payment issue on last order,"I didn’t receive my last invoice, can you send it again?",Billing
Request to close account,I want to change my phone number on file.,Account Changes
Need more product details,Do you have a brochure or catalog I can review?,General Inquiry
Invoice not received,I need a billing statement for the past 6 months.,Billing
Need more product details,Do you have a brochure or catalog I can review?,General Inquiry
Ask for company brochure,Can you tell me about the premium plans you offer?,General Inquiry
System performance slow,The system is unusually slow today.,Technical Support
Ask for company brochure,I’m interested in exploring partnership opportunities.,General Inquiry
Update my email address,I’d like to modify my account preferences.,Account Changes
Requesting a demo,Do you have a brochure or catalog I can review?,General Inquiry
Ask for company brochure,Can you tell me about the premium plans you offer?,General Inquiry
Need billing statement,There’s an issue with the payment I made yesterday.,Billing
System performance slow,The system is unusually slow today.,Technical Support
App keeps crashing,I’m getting a server error when accessing my dashboard.,Technical Support
Request refund for duplicate charge,Could you clarify the extra charges on my bill?,Billing
Need more product details,I need more details about your product features.,General Inquiry
Password reset not working,The app crashes every time I open it.,Technical Support
Requesting a demo,I’m interested in exploring partnership opportunities.,General Inquiry
Modify account details,I’d like to modify my account preferences.,Account Changes
Request to close account,Please update my email to newemail@example.com.,Account Changes
App keeps crashing,I’m getting a server error when accessing my dashboard.,Technical Support
Questions about partnership,Can you tell me about the premium plans you offer?,General Inquiry
Facing error 500 on website,The system is unusually slow today.,Technical Support
Request refund for duplicate charge,Could you clarify the extra charges on my bill?,Billing
Password reset not working,The app crashes every time I open it.,Technical Support
Facing error 500 on website,The password reset link is not working.,Technical Support
Questions about partnership,Can I request a product demo this week?,General Inquiry
Ask for company brochure,Can you tell me about the premium plans you offer?,General Inquiry
Modify account details,I’d like to modify my account preferences.,Account Changes
Facing error 500 on website,The system is unusually slow today.,Technical Support
Request refund for duplicate charge,There’s an issue with the payment I made yesterday.,Billing
Request to close account,Requesting to close my account permanently.,Account Changes
Request to close account,I want to change my phone number on file.,Account Changes
Payment issue on last order,Could you clarify the extra charges on my bill?,Billing
Payment issue on last order,"I didn’t receive my last invoice, can you send it again?",Billing
Questions about partnership,Do you have a brochure or catalog I can review?,General Inquiry
Payment issue on last order,Please refund the duplicate charge on my card.,Billing
Request refund for duplicate charge,I need a billing statement for the past 6 months.,Billing
Update my email address,How can I switch to a different account plan?,Account Changes
Modify account details,Please update my email to newemail@example.com.,Account Changes
Questions about partnership,Do you have a brochure or catalog I can review?,General Inquiry
Payment issue on last order,There’s an issue with the payment I made yesterday.,Billing
Requesting a demo,Can you tell me about the premium plans you offer?,General Inquiry
Switch account plan,How can I switch to a different account plan?,Account Changes
Password reset not working,The app crashes every time I open it.,Technical Support
Change registered phone number,How can I switch to a different account plan?,Account Changes
Modify account details,I want to change my phone number on file.,Account Changes
Invoice not received,There’s an issue with the payment I made yesterday.,Billing
Clarification on charges,There’s an issue with the payment I made yesterday.,Billing
Need billing statement,I need a billing statement for the past 6 months.,Billing
Password reset not working,The app crashes every time I open it.,Technical Support
Facing error 500 on website,The system is unusually slow today.,Technical Support
Cannot log into account,The system is unusually slow today.,Technical Support
Change registered phone number,I’d like to modify my account preferences.,Account Changes
Request refund for duplicate charge,"I didn’t receive my last invoice, can you send it again?",Billing
Clarification on charges,Please refund the duplicate charge on my card.,Billing
Password reset not working,The password reset link is not working.,Technical Support
Update my email address,Please update my email to newemail@example.com.,Account Changes
Ask for company brochure,I’m interested in exploring partnership opportunities.,General Inquiry
Change registered phone number,How can I switch to a different account plan?,Account Changes
Interested in premium plans,Can you tell me about the premium plans you offer?,General Inquiry
App keeps crashing,The app crashes every time I open it.,Technical Support
App keeps crashing,The password reset link is not working.,Technical Support
Interested in premium plans,I need more details about your product features.,General Inquiry
Need more product details,Can you tell me about the premium plans you offer?,General Inquiry
Requesting a demo,Can you tell me about the premium plans you offer?,General Inquiry
Invoice not received,There’s an issue with the payment I made yesterday.,Billing
App keeps crashing,The system is unusually slow today.,Technical Support
Ask for company brochure,I need more details about your product features.,General Inquiry
Questions about partnership,I’m interested in exploring partnership opportunities.,General Inquiry
Change registered phone number,How can I switch to a different account plan?,Account Changes
Need more product details,Can I request a product demo this week?,General Inquiry
System performance slow,I’m getting a server error when accessing my dashboard.,Technical Support
Interested in premium plans,I’m interested in exploring partnership opportunities.,General Inquiry
Requesting a demo,Can you tell me about the premium plans you offer?,General Inquiry
Change registered phone number,How can I switch to a different account plan?,Account Changes
Update my email address,Please update my email to newemail@example.com.,Account Changes
